날짜,구,건수
2021-01-01,강남구,3
2021-01-01,강동구,0
2021-01-01,강북구,16
2021-01-01,강서구,57
2021-01-01,관악구,1924
2021-01-01,구로구,2577
2021-01-01,금천구,556
2021-01-01,노원구,132
2021-01-01,도봉구,486
2021-01-01,동작구,945
2021-01-01,마포구,13
2021-01-01,서대문구,18
2021-01-01,서초구,182
2021-01-01,성동구,0
2021-01-01,성북구,0
2021-01-01,송파구,0
2021-01-01,양천구,409
2021-01-01,영등포구,847
2021-01-01,용산구,13
2021-01-01,은평구,601
2021-01-01,종로구,2
2021-01-01,중구,5
2021-01-01,중랑구,0
2021-01-02,강남구,10
2021-01-02,강동구,0
2021-01-02,강북구,14
2021-01-02,강서구,82
2021-01-02,관악구,2103
2021-01-02,구로구,2758
2021-01-02,금천구,602
2021-01-02,노원구,95
2021-01-02,도봉구,471
2021-01-02,동작구,1378
2021-01-02,마포구,24
2021-01-02,서대문구,25
2021-01-02,서초구,210
2021-01-02,성동구,0
2021-01-02,성북구,0
2021-01-02,송파구,1
2021-01-02,양천구,388
2021-01-02,영등포구,913
2021-01-02,용산구,56
2021-01-02,은평구,550
2021-01-02,종로구,2
2021-01-02,중구,12
2021-01-02,중랑구,0
2021-01-03,강남구,1
2021-01-03,강동구,0
2021-01-03,강북구,6
2021-01-03,강서구,70
2021-01-03,관악구,2145
2021-01-03,구로구,2404
2021-01-03,금천구,601
2021-01-03,노원구,82
2021-01-03,도봉구,426
2021-01-03,동작구,1322
2021-01-03,마포구,27
2021-01-03,서대문구,28
2021-01-03,서초구,151
2021-01-03,성동구,0
2021-01-03,성북구,0
2021-01-03,송파구,0
2021-01-03,양천구,361
2021-01-03,영등포구,891
2021-01-03,용산구,67
2021-01-03,은평구,536
2021-01-03,종로구,1
2021-01-03,중구,23
2021-01-03,중랑구,0
2021-01-04,강남구,32
2021-01-04,강동구,0
2021-01-04,강북구,6
2021-01-04,강서구,60
2021-01-04,관악구,1247
2021-01-04,구로구,1812
2021-01-04,금천구,490
2021-01-04,노원구,51
2021-01-04,도봉구,190
2021-01-04,동작구,874
2021-01-04,마포구,23
2021-01-04,서대문구,20
2021-01-04,서초구,192
2021-01-04,성동구,1
2021-01-04,성북구,0
2021-01-04,송파구,0
2021-01-04,양천구,219
2021-01-04,영등포구,740
2021-01-04,용산구,31
2021-01-04,은평구,404
2021-01-04,종로구,0
2021-01-04,중구,10
2021-01-04,중랑구,0
2021-01-05,강남구,21
2021-01-05,강동구,0
2021-01-05,강북구,6
2021-01-05,강서구,54
2021-01-05,관악구,1297
2021-01-05,구로구,1867
2021-01-05,금천구,428
2021-01-05,노원구,73
2021-01-05,도봉구,359
2021-01-05,동작구,882
2021-01-05,마포구,30
2021-01-05,서대문구,16
2021-01-05,서초구,255
2021-01-05,성동구,0
2021-01-05,성북구,0
2021-01-05,송파구,0
2021-01-05,양천구,311
2021-01-05,영등포구,753
2021-01-05,용산구,69
2021-01-05,은평구,353
2021-01-05,종로구,2
2021-01-05,중구,31
2021-01-05,중랑구,0
2021-01-06,강남구,19
2021-01-06,강동구,0
2021-01-06,강북구,6
2021-01-06,강서구,41
2021-01-06,관악구,606
2021-01-06,구로구,1023
2021-01-06,금천구,240
2021-01-06,노원구,60
2021-01-06,도봉구,252
2021-01-06,동작구,442
2021-01-06,마포구,12
2021-01-06,서대문구,12
2021-01-06,서초구,87
2021-01-06,성동구,0
2021-01-06,성북구,0
2021-01-06,송파구,0
2021-01-06,양천구,157
2021-01-06,영등포구,387
2021-01-06,용산구,31
2021-01-06,은평구,365
2021-01-06,종로구,1
2021-01-06,중구,16
2021-01-06,중랑구,0
2021-01-07,강남구,0
2021-01-07,강동구,0
2021-01-07,강북구,0
2021-01-07,강서구,1
2021-01-07,관악구,3
2021-01-07,구로구,11
2021-01-07,금천구,3
2021-01-07,노원구,3
2021-01-07,도봉구,20
2021-01-07,동작구,0
2021-01-07,마포구,3
2021-01-07,서대문구,5
2021-01-07,서초구,0
2021-01-07,성동구,0
2021-01-07,성북구,0
2021-01-07,송파구,0
2021-01-07,양천구,1
2021-01-07,영등포구,36
2021-01-07,용산구,5
2021-01-07,은평구,1
2021-01-07,종로구,0
2021-01-07,중구,3
2021-01-07,중랑구,0
2021-01-08,강남구,17
2021-01-08,강동구,0
2021-01-08,강북구,0
2021-01-08,강서구,59
2021-01-08,관악구,1
2021-01-08,구로구,772
2021-01-08,금천구,8
2021-01-08,노원구,12
2021-01-08,도봉구,411
2021-01-08,동작구,2
2021-01-08,마포구,14
2021-01-08,서대문구,22
2021-01-08,서초구,7
2021-01-08,성동구,0
2021-01-08,성북구,0
2021-01-08,송파구,1
2021-01-08,양천구,150
2021-01-08,영등포구,152
2021-01-08,용산구,44
2021-01-08,은평구,556
2021-01-08,종로구,1
2021-01-08,중구,36
2021-01-08,중랑구,0
2021-01-09,강남구,26
2021-01-09,강동구,0
2021-01-09,강북구,9
2021-01-09,강서구,114
2021-01-09,관악구,601
2021-01-09,구로구,1264
2021-01-09,금천구,28
2021-01-09,노원구,67
2021-01-09,도봉구,588
2021-01-09,동작구,211
2021-01-09,마포구,38
2021-01-09,서대문구,37
2021-01-09,서초구,111
2021-01-09,성동구,0
2021-01-09,성북구,0
2021-01-09,송파구,1
2021-01-09,양천구,234
2021-01-09,영등포구,449
2021-01-09,용산구,88
2021-01-09,은평구,778
2021-01-09,종로구,1
2021-01-09,중구,27
2021-01-09,중랑구,0
2021-01-10,강남구,12
2021-01-10,강동구,0
2021-01-10,강북구,7
2021-01-10,강서구,134
2021-01-10,관악구,919
2021-01-10,구로구,2778
2021-01-10,금천구,273
2021-01-10,노원구,90
2021-01-10,도봉구,433
2021-01-10,동작구,570
2021-01-10,마포구,48
2021-01-10,서대문구,28
2021-01-10,서초구,174
2021-01-10,성동구,0
2021-01-10,성북구,0
2021-01-10,송파구,0
2021-01-10,양천구,276
2021-01-10,영등포구,470
2021-01-10,용산구,105
2021-01-10,은평구,631
2021-01-10,종로구,2
2021-01-10,중구,27
2021-01-10,중랑구,0
2021-01-11,강남구,24
2021-01-11,강동구,0
2021-01-11,강북구,4
2021-01-11,강서구,63
2021-01-11,관악구,529
2021-01-11,구로구,1922
2021-01-11,금천구,446
2021-01-11,노원구,76
2021-01-11,도봉구,294
2021-01-11,동작구,483
2021-01-11,마포구,22
2021-01-11,서대문구,11
2021-01-11,서초구,234
2021-01-11,성동구,0
2021-01-11,성북구,0
2021-01-11,송파구,0
2021-01-11,양천구,264
2021-01-11,영등포구,500
2021-01-11,용산구,28
2021-01-11,은평구,540
2021-01-11,종로구,0
2021-01-11,중구,6
2021-01-11,중랑구,1
2021-01-12,강남구,23
2021-01-12,강동구,0
2021-01-12,강북구,0
2021-01-12,강서구,22
2021-01-12,관악구,317
2021-01-12,구로구,579
2021-01-12,금천구,115
2021-01-12,노원구,21
2021-01-12,도봉구,166
2021-01-12,동작구,286
2021-01-12,마포구,12
2021-01-12,서대문구,6
2021-01-12,서초구,136
2021-01-12,성동구,0
2021-01-12,성북구,0
2021-01-12,송파구,0
2021-01-12,양천구,106
2021-01-12,영등포구,220
2021-01-12,용산구,28
2021-01-12,은평구,154
2021-01-12,종로구,0
2021-01-12,중구,11
2021-01-12,중랑구,0
2021-01-13,강남구,19
2021-01-13,강동구,0
2021-01-13,강북구,1
2021-01-13,강서구,53
2021-01-13,관악구,1241
2021-01-13,구로구,1775
2021-01-13,금천구,522
2021-01-13,노원구,62
2021-01-13,도봉구,310
2021-01-13,동작구,821
2021-01-13,마포구,33
2021-01-13,서대문구,14
2021-01-13,서초구,203
2021-01-13,성동구,0
2021-01-13,성북구,0
2021-01-13,송파구,0
2021-01-13,양천구,281
2021-01-13,영등포구,567
2021-01-13,용산구,62
2021-01-13,은평구,506
2021-01-13,종로구,1
2021-01-13,중구,16
2021-01-13,중랑구,0
2021-01-14,강남구,25
2021-01-14,강동구,0
2021-01-14,강북구,4
2021-01-14,강서구,59
2021-01-14,관악구,1224
2021-01-14,구로구,1867
2021-01-14,금천구,455
2021-01-14,노원구,85
2021-01-14,도봉구,331
2021-01-14,동작구,882
2021-01-14,마포구,15
2021-01-14,서대문구,16
2021-01-14,서초구,201
2021-01-14,성동구,0
2021-01-14,성북구,0
2021-01-14,송파구,0
2021-01-14,양천구,234
2021-01-14,영등포구,595
2021-01-14,용산구,57
2021-01-14,은평구,526
2021-01-14,종로구,0
2021-01-14,중구,14
2021-01-14,중랑구,0
2021-01-15,강남구,17
2021-01-15,강동구,0
2021-01-15,강북구,7
2021-01-15,강서구,69
2021-01-15,관악구,1495
2021-01-15,구로구,2219
2021-01-15,금천구,557
2021-01-15,노원구,95
2021-01-15,도봉구,442
2021-01-15,동작구,1034
2021-01-15,마포구,27
2021-01-15,서대문구,18
2021-01-15,서초구,195
2021-01-15,성동구,0
2021-01-15,성북구,0
2021-01-15,송파구,0
2021-01-15,양천구,301
2021-01-15,영등포구,787
2021-01-15,용산구,65
2021-01-15,은평구,629
2021-01-15,종로구,0
2021-01-15,중구,23
2021-01-15,중랑구,0
2021-01-16,강남구,11
2021-01-16,강동구,0
2021-01-16,강북구,8
2021-01-16,강서구,68
2021-01-16,관악구,1911
2021-01-16,구로구,2593
2021-01-16,금천구,593
2021-01-16,노원구,103
2021-01-16,도봉구,523
2021-01-16,동작구,1217
2021-01-16,마포구,27
2021-01-16,서대문구,22
2021-01-16,서초구,232
2021-01-16,성동구,0
2021-01-16,성북구,0
2021-01-16,송파구,1
2021-01-16,양천구,341
2021-01-16,영등포구,747
2021-01-16,용산구,80
2021-01-16,은평구,658
2021-01-16,종로구,2
2021-01-16,중구,34
2021-01-16,중랑구,0
2021-01-17,강남구,4
2021-01-17,강동구,0
2021-01-17,강북구,9
2021-01-17,강서구,72
2021-01-17,관악구,1553
2021-01-17,구로구,2086
2021-01-17,금천구,428
2021-01-17,노원구,82
2021-01-17,도봉구,397
2021-01-17,동작구,1004
2021-01-17,마포구,33
2021-01-17,서대문구,27
2021-01-17,서초구,166
2021-01-17,성동구,0
2021-01-17,성북구,0
2021-01-17,송파구,0
2021-01-17,양천구,299
2021-01-17,영등포구,692
2021-01-17,용산구,67
