일,시간,건수
1,0,26
1,1,8
1,2,13
1,3,7
1,4,10
1,5,6
1,6,5
1,7,5
1,8,1
1,9,17
1,10,62
1,11,171
1,12,142
1,13,101
1,14,89
1,15,77
1,16,120
1,17,176
1,18,310
1,19,282
1,20,266
1,21,177
1,22,110
1,23,40
2,0,23
2,1,20
2,2,16
2,3,6
2,4,8
2,5,3
2,6,5
2,7,3
2,8,3
2,9,18
2,10,51
2,11,163
2,12,163
2,13,120
2,14,98
2,15,97
2,16,107
2,17,174
2,18,289
2,19,359
2,20,312
2,21,214
2,22,192
2,23,78
3,0,31
3,1,26
3,2,24
3,3,11
3,4,15
3,5,9
3,6,4
3,7,2
3,8,14
3,9,20
3,10,75
3,11,191
3,12,225
3,13,203
3,14,155
3,15,161
3,16,238
3,17,397
3,18,420
3,19,363
3,20,258
3,21,193
3,22,169
3,23,91
4,0,57
4,1,29
4,2,24
4,3,6
4,4,7
4,5,5
4,6,2
4,7,2
4,8,7
4,9,18
4,10,69
4,11,191
4,12,235
4,13,236
4,14,178
4,15,187
4,16,247
4,17,313
4,18,360
4,19,306
4,20,221
4,21,163
4,22,137
4,23,45
5,0,14
5,1,27
5,2,6
5,3,2
5,4,5
5,5,0
5,6,5
5,7,0
5,8,1
5,9,7
5,10,38
5,11,118
5,12,141
5,13,101
5,14,66
5,15,73
5,16,96
5,17,133
5,18,227
5,19,228
5,20,190
5,21,148
5,22,116
5,23,51
6,0,23
6,1,24
6,2,12
6,3,4
6,4,3
6,5,1
6,6,4
6,7,2
6,8,4
6,9,12
6,10,62
6,11,165
6,12,152
6,13,86
6,14,86
6,15,74
6,16,96
6,17,180
6,18,264
6,19,257
6,20,212
6,21,163
6,22,116
6,23,51
7,0,27
7,1,14
7,2,16
7,3,5
7,4,6
7,5,1
7,6,4
7,7,5
7,8,6
7,9,13
7,10,64
7,11,154
7,12,137
7,13,97
7,14,88
7,15,74
7,16,112
7,17,168
7,18,300
7,19,283
7,20,241
7,21,143
7,22,101
7,23,54
8,0,20
8,1,24
8,2,19
8,3,9
8,4,9
8,5,5
8,6,6
8,7,3
8,8,3
8,9,17
8,10,62
8,11,192
8,12,176
8,13,94
8,14,76
8,15,92
8,16,124
8,17,204
8,18,289
8,19,329
8,20,282
8,21,179
8,22,135
8,23,54
9,0,17
9,1,16
9,2,16
9,3,6
9,4,5
9,5,6
9,6,5
9,7,2
9,8,8
9,9,13
9,10,65
9,11,248
9,12,195
9,13,135
9,14,108
9,15,112
9,16,121
9,17,206
9,18,450
9,19,453
9,20,355
9,21,240
9,22,198
9,23,79
10,0,33
10,1,28
10,2,17
10,3,8
10,4,3
10,5,7
10,6,5
10,7,7
10,8,8
10,9,22
10,10,74
10,11,206
10,12,311
10,13,242
10,14,215
10,15,185
10,16,261
10,17,360
10,18,421
10,19,398
10,20,314
10,21,258
10,22,181
10,23,84
11,0,47
11,1,19
11,2,16
11,3,9
11,4,5
11,5,7
11,6,8
11,7,7
11,8,14
11,9,21
11,10,72
11,11,249
11,12,314
11,13,304
11,14,235
11,15,233
11,16,273
11,17,442
11,18,510
11,19,397
11,20,310
11,21,214
11,22,124
11,23,51
12,0,21
12,1,28
12,2,13
12,3,4
12,4,5
12,5,0
12,6,0
12,7,2
12,8,3
12,9,14
12,10,59
12,11,201
12,12,183
12,13,153
12,14,87
12,15,117
12,16,121
12,17,190
12,18,313
12,19,320
12,20,214
12,21,164
12,22,126
12,23,39
13,0,32
13,1,17
13,2,5
13,3,6
13,4,7
13,5,2
13,6,7
13,7,2
13,8,9
13,9,10
13,10,74
13,11,261
13,12,238
13,13,140
13,14,105
13,15,105
13,16,123
13,17,220
13,18,338
13,19,320
13,20,268
13,21,179
13,22,97
13,23,50
14,0,27
14,1,21
